website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Ajio,Bollyclues Coffee Women Embroidered Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20260406/l1Rk/69d3aa479e784a25d5bf6bdb/bollyclues_coffee_women_embroidered_regular_fit_shirt.jpg,Bollyclues,Women,Shirts,343,999,51,,,,Brown,Regular Fit,,,Embroidered,"Bollyclues Coffee Women Embroidered Regular Fit Shirt. Brand: Bollyclues. Color: Brown. Fit: Regular Fit. Pattern: Embroidered. Category: Women, Shirts. 1.4K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/bollyclues-women-embroidered-regular-fit-shirt/p/703289734_brown,2026-06-26T12:13:00.063541+00:00
Ajio,Nyrika Off White Women Embroidery Relaxed Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20250803/kX5m/688f91413d468c61ab40718f/nyrika_off_white_women_embroidery_relaxed_fit_shirt.jpg,Nyrika,Women,Shirts,500,2499,77,,,XXL,Off White,Relaxed Fit,,,,"Nyrika Off White Women Embroidery Relaxed Fit Shirt. Brand: Nyrika. Color: Off White. Fit: Relaxed Fit. Size: XXL. Category: Women, Shirts. 2.8K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/nyrika-women-embroidery-relaxed-fit-shirt-/p/701623433_offwhite,2026-06-26T12:13:00.063541+00:00
Ajio,Styli Blue Women Oversized-Fit Shirt with Patch Pockets,https://assets.ajio.com/medias/sys_master/root/20240206/n4kS/65c2629816fd2c6e6ae14366/styli_blue_women_oversized-fit_shirt_with_patch_pockets.jpg,Styli,Women,Shirts,286,1049,61,,,,Blue,Oversized Fit,,,,"Styli Blue Women Oversized-Fit Shirt with Patch Pockets. Brand: Styli. Color: Blue. Fit: Oversized Fit. Category: Women, Shirts",InStock,,https://www.ajio.com/styli-women-oversized-fit-shirt-with-patch-pockets/p/467049057_blue,2026-06-26T12:13:00.063541+00:00
Ajio,ELIXORIA Brown Women Regular Fit Shirt with Spread Collar,https://assets.ajio.com/medias/sys_master/root1/20250826/FXsJ/68ad9ed58bfb9009acb0b427/elixoria_brown_women_regular_fit_shirt_with_spread_collar.jpg,ELIXORIA,Women,Shirts,291,1299,68,,,S,Brown,Regular Fit,,,,"ELIXORIA Brown Women Regular Fit Shirt with Spread Collar. Brand: ELIXORIA. Color: Brown. Fit: Regular Fit. Size: S. Category: Women, Shirts. 862 shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/elixoria-women-regular-fit-shirt-with-spread-collar/p/702160449_brown,2026-06-26T12:13:00.063541+00:00
Ajio,CADMON Brown Women Regular Fit Classic Shirt,https://assets.ajio.com/medias/sys_master/root1/20260316/YYfs/69b7f9d50ad5d93337611375/cadmon_brown_women_regular_fit_classic_shirt.jpg,CADMON,Women,Shirts,395,989,43,,,S,Brown,Regular Fit,,,,"CADMON Brown Women Regular Fit Classic Shirt. Brand: CADMON. Color: Brown. Fit: Regular Fit. Size: S. Category: Women, Shirts",InStock,,https://www.ajio.com/cadmon-women-regular-fit-classic-shirt/p/703163249_brown,2026-06-26T12:13:00.063541+00:00
Ajio,Bollyclues Multi Women Regular Fit Graphic Shirt,https://assets.ajio.com/medias/sys_master/root1/20260509/i18R/69ff68d1fcb5bb61d2b3fd0a/bollyclues_multi_women_regular_fit_graphic_shirt.jpg,Bollyclues,Women,Shirts,343,999,51,,,XL,Multi,Regular Fit,,,Graphic,"Bollyclues Multi Women Regular Fit Graphic Shirt. Brand: Bollyclues. Color: Multi. Fit: Regular Fit. Pattern: Graphic. Size: XL. Category: Women, Shirts. 3.7K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/bollyclues-women-regular-fit-graphic-shirt/p/702424267_multi,2026-06-26T12:13:00.063541+00:00
Ajio,Nyrika Off-white Women Embroidered Relaxed Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20250915/Iwfj/68c80b763d468c61abf3f230/nyrika_off-white_women_embroidered_relaxed_fit_shirt.jpg,Nyrika,Women,Shirts,485,2424,77,,,XXL,Off White,Relaxed Fit,,,Embroidered,"Nyrika Off-white Women Embroidered Relaxed Fit Shirt. Brand: Nyrika. Color: Off White. Fit: Relaxed Fit. Pattern: Embroidered. Size: XXL. Category: Women, Shirts. 2.2K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/nyrika-women-embroidered-relaxed-fit-shirt/p/702256482_offwhite,2026-06-26T12:13:00.063541+00:00
Ajio,Fyre Rose Multi Women Printed Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root1/20260327/n66T/69c5a5ef5bc52e77e0099f3c/fyre_rose_multi_women_printed_regular_fit_shirt.jpg,Fyre Rose,Women,Shirts,294,999,58,,,L,Multi,Regular Fit,,,Printed,"Fyre Rose Multi Women Printed Regular Fit Shirt. Brand: Fyre Rose. Color: Multi. Fit: Regular Fit. Pattern: Printed. Size: L. Category: Women, Shirts. 6.5K shoppers wishlisted in last 30 days",InStock,,https://www.ajio.com/fyre-rose-women-printed-regular-fit-shirt/p/703228017_multi,2026-06-26T12:13:00.063541+00:00
Ajio,YOUSTA Blue Women Oversized Cotton Shirt,https://assets.ajio.com/medias/sys_master/root1/20251105/PwXZ/690b45aca470c5082f6ceb2a/yousta_blue_women_oversized_cotton_shirt.jpg,YOUSTA,Women,Shirts,140,499,60,,,,Ltblue,,Cotton,,,"YOUSTA Blue Women Oversized Cotton Shirt. Brand: YOUSTA. Color: Ltblue. Fabric: Cotton. Category: Women, Shirts",InStock,,https://www.ajio.com/yousta-women-oversized-cotton-shirt/p/443095562_ltblue,2026-06-26T12:13:00.063541+00:00
Ajio,Diktmark Lavender Women Regular Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20241105/qi4A/672a3012260f9c41e8c078bc/diktmark_lavender_women_regular_fit_shirt.jpg,Diktmark,Women,Shirts,300,1499,72,,,XS,Lavender,Regular Fit,,,,"Diktmark Lavender Women Regular Fit Shirt. Brand: Diktmark. Color: Lavender. Fit: Regular Fit. Size: XS. Category: Women, Shirts",InStock,,https://www.ajio.com/diktmark-women-regular-fit-shirt/p/700705429_lavender,2026-06-26T12:13:00.063541+00:00
