website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Myntra,Style Quotient Women White Formal Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/19761198/2022/9/2/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg",Style Quotient,Apparel,Shirts,599,1499,60,4.3,25053,"XS, S, M, L, XL",White,Regular Fit,Cotton,Long Sleeves,Solid,"White solid opaque foraml shirt ,has a spread collar, button placket, long regular sleeves, curved hem Fit: Regular Fit The model (height 5'8) is wearing a size S Cotton Hand wash Wash care: Hand Wash",InStock,Savadika Retail Private Limited,https://www.myntra.com/Shirts/Style+Quotient/Style-Quotient-Women-White-Formal-Shirt/19761198/buy,2026-06-26T05:32:19.624356+00:00
Myntra,glitchez Women Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/MARCH/13/hMJ3RytA_51bbd8a97e6c426e9815d9dbf47b8147.jpg",glitchez,Apparel,Shirts,596,1999,70,2.9,51,"XS, S, M, L",White,Regular Fit,Polyester,Long Sleeves,Striped,"White Solid Striped Opaque Casual shirts ,has a Spread Collar, , Long Regular Sleeves, Straight hem Brand Fit: Fit: Regular Fit The model (height 5'8) is wearing a size S Wash care: Machine Wash",InStock,AAHWAN ENTERPRISE,https://www.myntra.com/Shirts/glitchez/glitchez-Women-Striped-Casual-Shirt/40650946/buy,2026-06-26T05:32:19.624356+00:00
Myntra,HERE&NOW Women Oversized Fit Solid Spread Collar Cotton Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/AUGUST/18/6zT0pBpM_3fc2daa8c6e042a390768ea6628735d4.jpg",HERE&NOW,Apparel,Shirts,794,2299,65,4.2,2520,"S, M, L, XL, XXL",Blue,Oversized,Cotton,Long Sleeves,Solid,Blue opaque casual shirt for women Spread collar Button placket Curved hemline Solid Regular length Long sleeves Oversized The model (height 5.8') is wearing a size S Cotton Machine Wash Wash care: Machine Wash,InStock,Sixth Sense,https://www.myntra.com/Shirts/HERE%26NOW/HERENOW-Women-Oversized-Fit-Solid-Spread-Collar-Cotton-Casual-Shirt/36189600/buy,2026-06-26T05:32:19.624356+00:00
Myntra,glitchez Women Striped Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2026/MARCH/13/pJ8GoJ5i_551e5258807044948495b97670096a13.jpg",glitchez,Apparel,Shirts,596,1999,70,3.1,171,"XS, S, M, L",White,Slim Fit,Polyester,Short Sleeves,Striped,"White Vertical Stripes Striped Casual shirts ,has a Spread Collar, , Short Regular Sleeves, Straight hem Brand Fit: Slim Fit Fit: Slim Fit The model (height 5'8) is wearing a size S Wash care: Machine Wash",InStock,AAHWAN ENTERPRISE,https://www.myntra.com/Shirts/glitchez/glitchez-Women-Striped-Casual-Shirt/40650957/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Lifestyle Co. Solid Regular Fit Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/33439616/2025/5/6/403adf0c-6203-44e0-91a8-7a098af178961746531570755-The-Life-Co-Pure-Cotton-Wrap-Style-Casual-Shirt-159174653156-1.jpg",Roadster,Apparel,Shirts,894,1899,53,4.4,9788,"XS, S, M, L, XL, XXL",Maroon,Regular Fit,Cotton,Long Sleeves,Solid,"Maroon solid opaque Casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, straight hem Brand Fit: Classic Fit: Regular Fit The model (height 5'8) is wearing a size S 100% Cotton MACHINE WASH Wash care: Machine Wash",InStock,STREAMLINE APPARELS PRIVATE LIMITED,https://www.myntra.com/Shirts/Roadster/The-Roadster-Lifestyle-Co-Solid-Regular-Fit-Shirt/33439616/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Life Co. Oversized Striped Seersucker Pure Cotton Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/33563181/2025/5/14/c174bcf2-7a41-4f2f-9810-ffee2d85c2981747205142388-Womens-Oversize-Long-Sleeve-Yarn-Dyed-Stripe-Shirt-927174720-1.jpg",Roadster,Apparel,Shirts,599,1799,67,4.4,19139,"XS, S, M, L, XL",White,Oversized,Cotton,Long Sleeves,Striped,"Pink and white seersucker vertical stripes opaque casual shirt, has a spread collar, button placket, long regular sleeves, curved hem Fit: Oversized The model (height 5'8) is wearing a size S 100% Cotton&nbsp; Machine Wash Wash care: Machine Wash",InStock,FRACTAL INDUSTRIES LIMITED,https://www.myntra.com/Shirts/Roadster/The-Roadster-Life-Co-Oversized-Striped-Seersucker-Pure-Cotton-Shirt/33563181/buy,2026-06-26T05:32:19.624356+00:00
Myntra,High Star Solid Long Sleeves Oversized Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/24393396/2023/8/8/19ee012f-d1bc-4a95-a46d-bdbcb84b01e91691438760543HighStarWomenGreenClassicOpaqueCasualShirt1.jpg",High Star,Apparel,Shirts,950,2299,59,4.3,17346,"S, M, L, XL, XXL",Green,Oversized,Cotton,Long Sleeves,Solid,"Green solid opaque Casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, curved hemHigh Star - Product by BRND.ME Brand Fit: Classic Fit: Oversized The model (height 5'8) is wearing a size S 100% Cotton Machine Wash Wash care: Machine Wash",InStock,Mensa Brand Technologies Private Limited,https://www.myntra.com/Shirts/High+Star/High-Star-Solid-Long-Sleeves-Oversized-Casual-Shirt/24393396/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Life Co. Printed Pure Cotton Relaxed Fit Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/NOVEMBER/19/22UtRrDj_367808526f604fe98a52741c11ff1e69.jpg",Roadster,Apparel,Shirts,902,2199,59,4.2,2328,"M, L, XL, XXL",Red,Relaxed Fit,Cotton,Long Sleeves,Printed,"Red conversational printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem The model (height 5'8) is wearing a size S 100% cotton Machine wash Wash care: Machine Wash",InStock,STREAMLINE APPARELS PRIVATE LIMITED,https://www.myntra.com/Shirts/Roadster/The-Roadster-Life-Co-Printed-Pure-Cotton-Relaxed-Fit-Shirt/37851504/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Life Co. Pure Cotton Striped Relaxed Fit Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/2025/NOVEMBER/12/q0nzv3hd_a879d261c73740c081750e94acd1a298.jpg",Roadster,Apparel,Shirts,589,1599,63,4.1,1338,"XS, S, M, L, XL",Maroon,Relaxed Fit,Cotton,Long Sleeves,Striped,"Maroon and white vertical striped opaque casual shirt, has a spread collar, button placket, 1 patch pocket, long drop-shoulder sleeves, curved hem Fit: Relaxed Fit The model (height 5'8) is wearing a size S 100% Cotton Machine wash Wash care: Machine Wash",InStock,FRACTAL INDUSTRIES LIMITED,https://www.myntra.com/Shirts/Roadster/The-Roadster-Life-Co-Pure-Cotton-Striped-Relaxed-Fit-Casual-Shirt/36740836/buy,2026-06-26T05:32:19.624356+00:00
Myntra,The Roadster Lifestyle Co. Striped High-Low Casual Shirt,"https://assets.myntassets.com/h_720,q_70,w_540/v1/assets/images/27068766/2024/5/6/60bf9417-a5a5-41ef-9eff-40d7177a0edc1714998341069-Roadster-Women-Shirts-4291714998340540-1.jpg",Roadster,Apparel,Shirts,395,1099,64,4.1,6401,"XS, S, M, L, XL, XXL",Pink,Regular Fit,Viscose Rayon,Long Sleeves,Striped,"Dusty pink and white vertical stripes casual shirt ,has a mandarin collar, button placket, long regular sleeves, high-low hem Brand Fit: Regular Fit Size worn by the model: S Chest: 34"" Height: 5'8"" 100% viscose rayon Machine wash Wash care: Machine Wash",InStock,Savadika Retail Private Limited,https://www.myntra.com/Shirts/Roadster/The-Roadster-Lifestyle-Co-Striped-High-Low-Casual-Shirt/27068766/buy,2026-06-26T05:32:19.624356+00:00
