website_name,product_name,product_image,brand,category,subcategory,price,original_price,discount_percent,rating,review_count,size_options,color,fit_type,fabric,sleeve_type,pattern,description,availability,seller,product_url,scrape_date
Snapdeal,OTIRA Women Solid Poly Crepe Shirt ( Black ),https://g.sdlcdn.com/imgs/k/1/r/OTIRA-Black-Poly-Crepe-Shirt-SDL905105707-1-77e51.jpg?w=220&h=258&sharp=7,OTIRA,Women,Shirts,402,1475,73,4.4,37,"S, M, L, XL, 2XL, 3XL",Mint Green,Regular Fit,Poly Crepe,Full Sleeves,Solid,Fabric: Poly Crepe. Fit: Regular Fit. Sleeves Length: Full Sleeves. Color: Mint Green. Neck Shape: Shirt Collar. Product Length: Regular,InStock,doek design private limited,https://www.snapdeal.com/product/otira-blue-poly-crepe-shirt/5188147446991937558,2026-06-29T05:30:39.158595+00:00
Snapdeal,Mahadev Fashion Women Cotton Blend Shirt ( Multi Color ),https://g.sdlcdn.com/imgs/l/d/7/Mahadev-Fashion-Women-Cotton-Blend-SDL987473081-1-f346b.jpg?w=220&h=258&sharp=7,Mahadev Fashion,Women,Shirts,448,999,55,5,1,"S, M, L, XL, 2XL, 3XL",Multi Color,Regular,Cotton Blend,3/4th Sleeves,,Fabric: Cotton Blend. Fit: Regular. Sleeves Length: 3/4th Sleeves. Color: Multi Color. Neck Shape: Shirt Collar. Product Length: Regular,InStock,mahadev fashion,https://www.snapdeal.com/product/mahadev-fashion-women-cotton-blend/668172516083,2026-06-29T05:30:39.158595+00:00
Snapdeal,areal fashion Women Solid Cotton Shirt ( Peach ),https://g.sdlcdn.com/imgs/l/i/9/areal-fashion-Women-Solid-Cotton-SDL548156166-1-12273.png?w=220&h=258&sharp=7,areal fashion,Women,Shirts,351,1200,71,3.5,17,"S, M, L, XL, XXL, 3XL",Peach,Regular,Cotton,Full Sleeves,Solid,Fabric: Cotton. Fit: Regular. Sleeves Length: Full Sleeves. Color: Peach. Neck Shape: Shirt Collar. Product Length: Crop,InStock,m/s areal fashion,https://www.snapdeal.com/product/areal-fashion-women-solid-cotton/5764608177055471158,2026-06-29T05:30:39.158595+00:00
Snapdeal,Rakhdi Industries Women Crepe Shirt ( Pink ),https://g.sdlcdn.com/imgs/l/f/n/Rakhdi-Industries-Women-Crepe-Shirt-SDL586437685-1-3f2d6.jpg?w=220&h=258&sharp=7,Rakhdi Industries,Women,Shirts,271,999,73,3.6,5,"XS, S, M, L, XL, XXL",Pink,Regular,Crepe,Full Sleeves,,Fabric: Crepe. Fit: Regular. Sleeves Length: Full Sleeves. Color: Pink. Neck Shape: Shirt Collar. Product Length: Regular,InStock,rakhdi industries,https://www.snapdeal.com/product/rakhdi-industries-women-crepe-shirt/618966859605,2026-06-29T05:30:39.158595+00:00
Snapdeal,FOSTRIC Women Poly Crepe Shirt ( Navy Blue ),https://g.sdlcdn.com/imgs/l/k/o/FOSTRIC-Women-Poly-Crepe-Shirt-SDL261358840-1-e94f8.jpg?w=220&h=258&sharp=7,FOSTRIC,Women,Shirts,383,1299,71,0,0,"S, M, L, XL, 2XL, XXL, 3XL, 4XL, 5XL",Navy Blue,Regular,Poly Crepe,3/4th Sleeves,,Fabric: Poly Crepe. Fit: Regular. Sleeves Length: 3/4th Sleeves. Color: Navy Blue. Neck Shape: V-Neck. Product Length: Regular,InStock,parv infotech,https://www.snapdeal.com/product/fostric-women-poly-crepe-shirt/631234080090,2026-06-29T05:30:39.158595+00:00
Snapdeal,QuaClo Women Solid Cotton Shirt ( Black ),https://g.sdlcdn.com/imgs/k/t/s/QuaClo-Black-Cotton-Women-s-SDL779991272-1-110c4.jpg?w=220&h=258&sharp=7,QuaClo,Women,Shirts,369,1399,74,4,6,"XS, S, M, L, XL",Black,Regular Fit,Cotton,Half Sleeves,Solid,Fabric: Cotton. Fit: Regular Fit. Sleeves Length: Half Sleeves. Color: Black. Neck Shape: Shirt Collar. Product Length: Regular,InStock,gifty basket inc,https://www.snapdeal.com/product/quaclo-black-cotton-womens-shirt/676318310943,2026-06-29T05:30:39.158595+00:00
Snapdeal,MIRAVUE Women Striped Cotton Blend Shirt ( Pink ),https://g.sdlcdn.com/imgs/l/g/g/MIRAVUE-Women-Striped-Cotton-Blend-SDL613917946-1-d4fc1.png?w=220&h=258&sharp=7,MIRAVUE,Women,Shirts,355,1199,70,3.8,110,XL,Blue,Regular,Cotton Blend,Full Sleeves,Striped,Fabric: Cotton Blend. Fit: Regular. Sleeves Length: Full Sleeves. Color: Blue. Neck Shape: Shirt Collar. Product Length: Regular,InStock,mira ventures,https://www.snapdeal.com/product/miravue-women-striped-cotton-blend/8070451201826532679,2026-06-29T05:30:39.158595+00:00
Snapdeal,Kashian Women Solid Poly Cotton Shirt ( Black ),https://g.sdlcdn.com/imgs/k/3/q/Kashian-Black-Poly-Cotton-Shirt-SDL667273746-1-fdbbb.jpg?w=220&h=258&sharp=7,Kashian,Women,Shirts,262,1299,80,3.8,134,"S, M, L, XL, XXL",Black,Regular Fit,Poly Cotton,Full Sleeves,Solid,Fabric: Poly Cotton. Fit: Regular Fit. Sleeves Length: Full Sleeves. Color: Black. Neck Shape: Shirt Collar. Product Length: Regular,InStock,kiu apparels,https://www.snapdeal.com/product/kashian-white-poly-cotton-shirt/5764608197485861903,2026-06-29T05:30:39.158595+00:00
Snapdeal,Canblar Women Striped Cotton Shirt ( Pink ),https://g.sdlcdn.com/imgs/l/l/h/Canblar-Women-Striped-Cotton-Shirt-SDL915004357-1-51487.jpg?w=220&h=258&sharp=7,Canblar,Women,Shirts,337,1299,74,4.2,6,"M, L, XL, XXL",Maroon,Regular,Cotton,Full Sleeves,Striped,Fabric: Cotton. Fit: Regular. Sleeves Length: Full Sleeves. Color: Maroon. Neck Shape: Shirt Collar. Product Length: Regular,InStock,krew sales,https://www.snapdeal.com/product/canblar-women-striped-cotton-shirt/5188147453469746245,2026-06-29T05:30:39.158595+00:00
Snapdeal,Vava Women Cotton Blend Shirt ( Pink ),https://g.sdlcdn.com/imgs/l/l/o/Vava-Women-Cotton-Blend-Shirt-SDL058963644-1-c40e2.jpg?w=220&h=258&sharp=7,Vava,Women,Shirts,448,1499,70,0,0,"S, M, L, XL, 2XL",Pink,Regular,Cotton Blend,3/4th Sleeves,,Fabric: Cotton Blend. Fit: Regular. Sleeves Length: 3/4th Sleeves. Color: Pink. Neck Shape: Shirt Collar. Product Length: Regular,InStock,vava creation,https://www.snapdeal.com/product/vava-women-cotton-blend-shirt/659765733264,2026-06-29T05:30:39.158595+00:00
